Subject	Word	VOT	Length	Density	Frequency	SumSegProbability	SumBiProb	MinPair	Pair	Vowel	Consonant	Prevoiced	x	y
1	babe	0.022863058	3	18	35.57	0.1064	0.0034	-0.5	2B	EY	B	0		
1	babe	0.023195101	3	18	35.57	0.1064	0.0034	-0.5	2B	EY	B	0		
1	babe	0.036429461	3	18	35.57	0.1064	0.0034	-0.5	2B	EY	B	0		
1	bade	0.021807895	3	41	0.43	0.1184	0.0039	0.5	2B	EY	B	0		
1	bade	0.019690098	3	41	0.43	0.1184	0.0039	0.5	2B	EY	B	0		
1	bade	0.01594654	3	41	0.43	0.1184	0.0039	0.5	2B	EY	B	0		
1	badge	0.02560712	3	17	15.25	0.1414	0.0066	-0.5	4B	AE	B	0		
1	badge	0.032218642	3	17	15.25	0.1414	0.0066	-0.5	4B	AE	B	0		
1	badge	0.016334498	3	17	15.25	0.1414	0.0066	-0.5	4B	AE	B	0		
1	bane	0.026425258	3	42	1.84	0.1765	0.0047	0.5	1B	EY	B	0		
1	bane	0.030429412	3	42	1.84	0.1765	0.0047	0.5	1B	EY	B	0		
1	bane	0.01565846	3	42	1.84	0.1765	0.0047	0.5	1B	EY	B	0		
1	bark	0.015917521	4	26	5.49	0.2323	0.0228	0.5	3B	AA	B	0		
1	bark	0.024780238	4	26	5.49	0.2323	0.0228	0.5	3B	AA	B	0		
1	bark	0.020121926	4	26	5.49	0.2323	0.0228	0.5	3B	AA	B	0		
1	barn	0.022712271	4	21	13.59	0.2369	0.0228	-0.5	3B	AA	B	0		
1	barn	0.033550358	4	21	13.59	0.2369	0.0228	-0.5	3B	AA	B	0		
1	barn	0.024009101	4	21	13.59	0.2369	0.0228	-0.5	3B	AA	B	0		
1	bat	0.020805619	3	48	20.63	0.1966	0.0118	0.5	4B	AE	B	0		
1	bat	0.023474541	3	48	20.63	0.1966	0.0118	0.5	4B	AE	B	0		
1	bat	0.015961356	3	48	20.63	0.1966	0.0118	0.5	4B	AE	B	0		
1	beak	0.033068118	3	34	2.1	0.1365	0.0044	0.5	5B	IY	B	0		
1	beak	0.033696807	3	34	2.1	0.1365	0.0044	0.5	5B	IY	B	0		
1	beak	0.017610166	3	34	2.1	0.1365	0.0044	0.5	5B	IY	B	0		
1	bean	0.026645203	3	32	6.84	0.1791	0.0053	-0.5	5B	IY	B	0		
1	bean	0.015779465	3	32	6.84	0.1791	0.0053	-0.5	5B	IY	B	0		
1	bean	0.016194522	3	32	6.84	0.1791	0.0053	-0.5	5B	IY	B	0		
1	bed	0.019731377	3	40	187.12	0.1621	0.0069	-0.5	6B	EH	B	0		
1	bed	0.016973683	3	40	187.12	0.1621	0.0069	-0.5	6B	EH	B	0		
1	bed	0.011924488	3	40	187.12	0.1621	0.0069	-0.5	6B	EH	B	0		
1	beige	0.029393298	3	11	1.35	0.0821	0.0018	-0.5	1B	EY	B	0		
1	beige	0.020097574	3	11	1.35	0.0821	0.0018	-0.5	1B	EY	B	0		
1	beige	0.027910593	3	11	1.35	0.0821	0.0018	-0.5	1B	EY	B	0		
1	belch	0.010159486	4	10	0.73	0.2078	0.0124	-0.5	8B	EH	B	0		
1	belch	0.018114624	4	10	0.73	0.2078	0.0124	-0.5	8B	EH	B	0		
1	belch	0.015649589	4	10	0.73	0.2078	0.0124	-0.5	8B	EH	B	0		
1	bell	0.019036196	3	41	39.33	0.1978	0.0119	-0.5	9B	EH	B	0		
