Speaker,Phoneme,File,TimeStamp,Ortho,Sylls,Cat,Lemma,FolLiquid,logForwardBigram,SpeechRate,MinPairExist,Closure,VOT,StopLength,VOTLengthRatio
s01,b,s0101b,257.685276,bed,1,N,bed,FALSE,-8.120499776,4.367494052,FALSE,0.039717749,0.008495657,0.048213406,0.176209429
s01,b,s0101b,45.191625,boy,1,N,boy,FALSE,-6.796824108,4.844679573,FALSE,0.045936803,0.03066225,0.076599053,0.400295421
s01,b,s0102b,443.532895,baby,2,N,baby,FALSE,-7.970222734,5.21277756,FALSE,0.063491856,0.010948965,0.074440821,0.147082811
s01,b,s0102a,130.131375,business,2,N,business,FALSE,-6.59876069,5.470419234,FALSE,0.075543495,0.017064835,0.092608331,0.1842689
s01,b,s0102b,466.221494,budgets,2,N,budget,FALSE,-8.812840234,3.04445861,FALSE,0.105899943,0.019482964,0.125382907,0.155387719
s01,b,s0102a,354.823823,base,1,N,base,FALSE,-6.467698746,4.297988112,TRUE,0.073681848,0.019009169,0.092691017,0.20508103
s01,b,s0101b,349.809047,bright,1,J,bright,TRUE,-10.25162759,4.446339079,FALSE,0.075526549,0.032854613,0.108381162,0.303139519
s01,b,s0101a,481.149396,blended,2,V,blend,TRUE,-10.89234898,5.70734693,FALSE,0.06685307,0.008908509,0.075761579,0.1175861
s01,b,s0101b,348.959435,big,1,J,big,FALSE,-4.044886278,4.446339079,TRUE,0.112887701,0.012987934,0.125875636,0.103180685
s01,b,s0101a,460.379557,big,1,J,big,FALSE,-5.709719464,6.326553625,TRUE,0.064980686,0.015820461,0.080801148,0.195795007
s01,b,s0102b,437.326168,baby,2,N,baby,FALSE,-6.397649714,3.462314153,FALSE,0.048089074,0.00816533,0.056254405,0.145150057
s01,b,s0102b,93.304545,busy,2,J,busy,FALSE,-6.977626393,2.766389474,FALSE,0.073891892,0.027291082,0.101182974,0.269720102
s01,b,s0102b,435.77275,baby,2,N,baby,FALSE,-7.970222734,2.981379052,FALSE,0.057367859,0.020320497,0.077688355,0.261564253
s01,b,s0101a,198.637009,bills,1,N,bill,FALSE,-8.367765074,5.26607849,TRUE,0.071879695,0.016383257,0.088262952,0.185618729
s01,b,s0102b,422.879331,baby,2,N,baby,FALSE,-7.970222734,7.145815232,FALSE,0.072340507,0.012279783,0.08462029,0.145116295
s01,b,s0101b,26.292717,big,1,J,big,FALSE,-4.044886278,3.629356826,TRUE,0.092697374,0.003845825,0.096543199,0.039835276
s01,b,s0102a,434.114879,born,1,V,born,FALSE,-4.998599664,4.825121104,TRUE,0.096971618,0.028126459,0.125098077,0.224835262
s01,b,s0101a,292.859336,boy,1,N,boy,FALSE,-4.722051029,6.440308756,FALSE,0.055164294,0.021247303,0.076411598,0.278063852
s01,b,s0102b,433.902802,baby,2,N,baby,FALSE,-7.970222734,4.611030738,FALSE,0.046393921,0.021659142,0.068053063,0.318268441
s01,b,s0102b,344.833538,boyfriend,2,N,boyfriend,FALSE,-10.98819694,2.315120282,FALSE,0.07011623,0.022885833,0.093002064,0.24607877
s01,b,s0102b,349.113001,building,2,N,building,FALSE,-7.14251605,4.269721659,FALSE,0.074340089,0.019070176,0.093410265,0.204155035
s01,b,s0102b,206.930505,boys,1,N,boy,FALSE,-8.012869661,2.818368151,FALSE,0.024094072,0.032157814,0.056251886,0.571675302
s01,b,s0102a,336.452055,bad,1,J,bad,FALSE,-5.547703256,5.204023751,TRUE,0.097671787,0.015203008,0.112874796,0.134689132
s01,b,s0101b,257.064158,bed,1,N,bed,FALSE,-8.120499776,4.367494052,FALSE,0.039717749,0.008495657,0.048213406,0.176209429
s01,b,s0101a,84.257117,boy,1,N,boy,FALSE,-4.722051029,1.710940544,FALSE,0.049979824,0.030451624,0.080431448,0.37860345
s01,b,s0103a,358.679438,back,1,R,back,FALSE,-2.943268712,5.32612531,TRUE,0.019889868,0.010322182,0.03021205,0.341657792
s01,b,s0102b,425.632861,baby,2,N,baby,FALSE,-7.970222734,5.030648257,FALSE,0.070391335,0.011305197,0.081696532,0.138380378
s01,b,s0102b,243.646078,basis,2,N,basis,FALSE,-6.395261647,4.610411046,FALSE,0.019112508,0.01515314,0.034265647,0.442225402
s01,d,s0102b,407.727938,depth,1,N,depth,FALSE,-8.168249053,3.681350614,FALSE,0.019296802,0.02982233,0.049119132,0.607142857
s01,d,s0101a,103.195117,drug,1,N,drug,TRUE,-6.85343188,5.928307007,FALSE,0.039035602,0.030432074,0.069467676,0.438075315
s01,d,s0101b,137.179187,door,1,N,door,FALSE,-11.63622368,5.401878368,FALSE,0.030278065,0.020242885,0.05052095,0.400682975
s01,d,s0101b,137.640188,dress,1,V,dress,TRUE,-8.378131494,5.401878368,FALSE,0.043958625,0.028159651,0.072118276,0.390464842
s01,d,s0101b,358.870563,dead,1,J,dead,FALSE,-8.9976917,2.759260077,FALSE,0.036819822,0.022531533,0.059351355,0.37962963
s01,d,s0101b,506.780959,died,1,V,die,FALSE,-4.708929429,4.562675683,TRUE,0.059907765,0.029953882,0.089861647,0.333333333
s01,d,s0101b,353.871063,down,1,R,down,FALSE,-6.081362559,4.120665648,TRUE,0.026127188,0.007144145,0.033271332,0.214723728
s01,d,s0101a,73.087701,down,1,R,down,FALSE,-6.365324598,4.741635572,TRUE,0.010981433,0.00486776,0.015849193,0.307129854
s01,d,s0102a,267.129859,days,1,N,day,FALSE,-2.89941026,1.907463236,FALSE,0.068043281,0.030817651,0.098860932,0.311727297
s01,d,s0101a,238.647697,dad,1,N,dad,FALSE,-4.26612861,4.012234641,FALSE,0.06221644,0.018837518,0.081053958,0.232407135
s01,d,s0101b,474.700012,died,1,V,die,FALSE,-3.986202411,4.386636375,TRUE,0.042077719,0.013444566,0.055522285,0.2421472
s01,d,s0101b,521.484577,died,1,V,die,FALSE,-8.898504857,6.414738503,TRUE,0.032949271,0.016474635,0.049423906,0.333333333
s01,d,s0102a,27.806474,died,1,V,die,FALSE,-5.737582928,6.536446782,TRUE,0.044183146,0.018842067,0.063025213,0.298960787
s01,d,s0102b,74.124869,days,1,N,day,FALSE,-2.89941026,1.888760327,FALSE,0.040717027,0.031727554,0.072444581,0.437956204
s01,d,s0101b,136.922674,door,1,N,door,FALSE,-9.345015275,5.401878368,FALSE,0.030278065,0.020242885,0.05052095,0.400682975
s01,d,s0101a,76.568778,down,1,R,down,FALSE,-1.945910148,4.741635572,TRUE,0.050657431,0.019202942,0.069860373,0.274876031
s01,g,s0101a,61.444179,guess,1,N,guess,FALSE,-3.249721705,5.515224962,FALSE,0.027115878,0.026729886,0.053845764,0.496415771
s01,g,s0102b,317.23022,grade,1,N,grade,TRUE,-0.750010043,4.175917069,FALSE,0.063278707,0.027916901,0.091195608,0.306121112
s01,g,s0102b,78.438375,guidance,2,N,guidance,FALSE,-10.11174249,4.924955175,FALSE,0.040392631,0.029304458,0.069697088,0.420454545
s01,g,s0101a,163.517729,guess,1,N,guess,FALSE,-3.249721705,2.527266818,FALSE,0.083615466,0.05664975,0.140265216,0.403875969
s01,g,s0103a,178.00942,gay,1,N,gay,FALSE,-7.892522944,3.848014953,FALSE,0.051667247,0.026047472,0.077714718,0.335167806
s01,g,s0102b,148.429864,guidance,2,N,guidance,FALSE,-10.11174249,4.077528496,FALSE,0.063356596,0.025122866,0.088479462,0.283940084
s01,g,s0101a,147.253491,guess,1,V,guess,FALSE,-3.249721705,3.944402705,FALSE,0.048977136,0.019448548,0.068425684,0.284228769
s01,g,s0102a,573.211562,girl,1,N,girl,TRUE,-6.588410309,4.717691301,TRUE,0.077854868,0.038228963,0.11608383,0.329322029
s01,g,s0102a,407.939599,guess,1,N,guess,FALSE,-3.249721705,6.054136848,FALSE,0.049920386,0.039285616,0.089206003,0.440392073
s01,g,s0101b,145.384092,guess,1,N,guess,FALSE,-3.249721705,4.990277276,FALSE,0.051704646,0,0.051704646,0
s01,g,s0102b,424.104504,game,1,N,game,FALSE,-2.942331497,7.145815232,TRUE,0.053823374,0.0384946,0.092317974,0.416978388
s01,g,s0102b,426.454146,game,1,N,game,FALSE,-2.942331497,5.030648257,TRUE,0.054213208,0.029432496,0.083645704,0.351870977
s01,g,s0102b,219.263257,granted,2,V,grant,TRUE,-6.037340542,2.128317693,FALSE,0.054805217,0.034802859,0.089608076,0.388389763
s01,g,s0102b,351.233062,girl,1,N,girl,TRUE,-5.706445618,4.269721659,TRUE,0.074068532,0.041487635,0.115556167,0.35902571
s01,g,s0102b,401.842935,gay,1,J,gay,FALSE,-8.884264852,3.429696369,FALSE,0.029278278,0.03118675,0.060465028,0.515781621
s02,b,s0202b,151.317,beaver,2,V,beaver,FALSE,-10.13164365,2.679621745,FALSE,0.058368246,0.017200304,0.07556855,0.22761194
s02,b,s0201b,23.508,back,1,V,back,FALSE,-8.397549665,5.569258479,TRUE,0.073842238,0,0.073842238,0
s02,b,s0204a,73.765,bed,1,N,bed,FALSE,-7.164587474,5.308289098,FALSE,0.058241373,0.008664226,0.0669056,0.129499272
s02,b,s0202a,225.696,big,1,J,big,FALSE,-4.735415897,4.237949995,TRUE,0.075545205,0.007073521,0.082618726,0.085616438
s02,b,s0202a,325.449,biggest,2,J,big,FALSE,-6.436630404,3.970900798,TRUE,0.080233795,0.003183881,0.083417676,0.038167939
s02,b,s0205b,332.693,boy,1,N,boy,FALSE,-10.86582222,5.259608192,FALSE,0.099544291,0.027942257,0.127486548,0.219178082
s02,b,s0203b,283.872,born,1,V,born,FALSE,-9.417364541,5.425709516,TRUE,0.103334718,0.006111193,0.109445911,0.055837563
s02,b,s0205a,294.7,bathroom,2,N,bathroom,FALSE,-7.372090206,6.074823964,FALSE,0.041966911,0.009603189,0.0515701,0.186216222
s02,b,s0202a,233.363,busy,2,J,busy,FALSE,-6.977626393,5.326876513,FALSE,0.02642621,0.011780359,0.038206569,0.308333333
s02,b,s0203b,283.427,baby,2,N,baby,FALSE,-7.15541952,5.425709516,FALSE,0.065742438,0.005292018,0.071034456,0.074499307
s02,b,s0204b,432.649,books,1,N,book,FALSE,-9.978211099,6.370523416,FALSE,0.088574182,0.016688634,0.105262815,0.158542535
s02,b,s0204a,128.802,bad,1,J,bad,FALSE,-6.874252807,5.596067531,TRUE,0.06023726,0,0.06023726,0
s02,b,s0205b,284.425,big,1,J,big,FALSE,-4.044886278,0.316798761,TRUE,0.068581075,0,0.068581075,0
s02,b,s0204b,62.329,back,1,R,back,FALSE,-8.4120542,3.278541617,TRUE,0.066922503,0.011327982,0.078250484,0.144765641
s02,b,s0202a,253.422,bad,1,J,bad,FALSE,-4.95537979,4.95886045,TRUE,0.118492078,0,0.118492078,0
s02,b,s0202a,268.241166,better,2,R,better,FALSE,-6.414187112,4.809137361,FALSE,0.073651073,0.007004538,0.080655611,0.086845015
s02,b,s0202b,414.698911,back,1,R,back,FALSE,-3.020925535,3.836849486,TRUE,0.059807524,0.004915903,0.064723427,0.075952457
s02,b,s0203b,226.158,boys,1,N,boy,FALSE,-8.012869661,5.290504633,FALSE,0.067005701,0.003530437,0.070536138,0.050051471
s02,b,s0205b,174.348,bargain,2,N,bargain,FALSE,-0.310154929,3.702335325,FALSE,0.067115659,0.005283927,0.072399586,0.072982829
s02,b,s0205a,233.503,bad,1,J,bad,FALSE,-6.763330312,4.805524564,TRUE,0.07897238,0.012060522,0.091032902,0.132485304
s02,b,s0204b,72.349,baby,2,N,baby,FALSE,-3.25809655,5.65397663,FALSE,0.054187925,0,0.054187925,0
s02,b,s0203b,289.523,bed,1,N,bed,FALSE,-7.164587474,5.327375838,FALSE,0.080531336,0.003645451,0.084176787,0.043307087
s02,b,s0202a,189.952,busy,2,J,busy,FALSE,-6.977626393,4.381960928,FALSE,0.095816911,0.02298638,0.118803291,0.193482688
s02,b,s0204b,34.359166,back,1,R,back,FALSE,-3.876363626,6.347920043,TRUE,0.080694875,0,0.080694875,0
s02,b,s0201a,5.584,ballot,2,N,ballot,FALSE,-9.889584647,1.206529132,FALSE,0.074026622,0,0.074026622,0
s02,b,s0206a,363.924,born,1,V,born,FALSE,-4.998599664,2.465682629,TRUE,0.073332082,0.009293705,0.082625787,0.112479469
s02,b,s0204b,403.805,books,1,N,book,FALSE,-6.5671523,4.340277778,FALSE,0.093197379,0.02877937,0.121976749,0.235941444
s02,b,s0203a,232.06925,best,1,J,best,FALSE,-8.81804156,4.935003854,TRUE,0.137742076,0.015750248,0.153492325,0.102612613
s02,b,s0205a,214.077,bad,1,J,bad,FALSE,-8.711998345,3.711681528,TRUE,0.069464809,0.004638662,0.074103472,0.062597097
s02,b,s0205b,173.338,bargain,2,N,bargain,FALSE,-0.310154929,3.702335325,FALSE,0.060105034,0.004471015,0.064576049,0.069236425
s02,b,s0204b,430.658,books,1,N,book,FALSE,-7.626739377,4.475274111,FALSE,0.043765526,0.02905764,0.072823166,0.399016433
s02,b,s0206a,221.272,back,1,R,back,FALSE,-4.338203988,4.514821191,TRUE,0.062876664,0,0.062876664,0
s02,b,s0204a,178.769,back,1,R,back,FALSE,-3.020925535,6.179956811,TRUE,0.058139768,0.006849973,0.06498974,0.105400835
