Speaker,Phoneme,File,TimeStamp,Ortho,Sylls,Lemma,FolLiquid,SpeechRate,MinPairExist,Closure,VOT,StopLength,VOTStopLengthRatio
s01,k,s0101b,109.0865,care,1,care,FALSE,4.614479467,FALSE,0.075623894,0.096491272,0.172115166,0.560620392
s01,k,s0101b,403.674033,clear,1,clear,TRUE,2.590873596,FALSE,0.066432306,0.099065981,0.165498286,0.598592184
s01,k,s0102a,35.032463,cuff,1,cuff,FALSE,5.818523978,FALSE,0.042338213,0.057761747,0.10009996,0.577040661
s01,k,s0102a,65.791927,college,2,college,FALSE,5.499415687,FALSE,0.039074123,0.075907794,0.114981917,0.66017158
s01,k,s0101b,27.42393,kids,1,kid,FALSE,3.629356826,FALSE,0.054429699,0.06533885,0.11976855,0.545542636
s01,k,s0101a,588.546793,care,1,care,FALSE,2.470403028,FALSE,0.078169266,0.082275127,0.160444393,0.512795276
s01,k,s0101b,27.820179,class,1,class,TRUE,3.629356826,TRUE,0.016929613,0.063203694,0.080133307,0.788731883
s01,k,s0101b,161.121092,cultures,2,culture,FALSE,5.170085026,FALSE,0.057301025,0.076278534,0.133579559,0.571034483
s01,k,s0102b,422.232477,carry,2,carry,FALSE,7.145815232,FALSE,0.055187794,0.050483552,0.105671346,0.477741164
s01,k,s0102a,464.98161,cost,1,cost,FALSE,4.593173442,FALSE,0.049852301,0.0810114,0.130863701,0.619051725
s01,k,s0101b,21.271382,kids,1,kid,FALSE,4.48601379,FALSE,0.08173328,0.095441845,0.177175125,0.538686484
s01,k,s0102a,432.320625,cut,1,cut,FALSE,4.825121104,TRUE,0.065839825,0.09110261,0.156942436,0.580484238
s01,k,s0101b,90.133035,care,1,care,FALSE,3.38912626,FALSE,0.06434493,0.069368894,0.133713823,0.518786256
s01,k,s0102a,359.649138,culture,2,culture,FALSE,2.974602251,FALSE,0.05388063,0.068568983,0.122449613,0.559977132
s01,k,s0102b,328.281161,kids,1,kid,FALSE,5.29479943,FALSE,0.074990687,0.064048277,0.139038964,0.460649845
s01,k,s0101b,59.915875,care,1,care,FALSE,5.453804587,FALSE,0.062492583,0.066516287,0.12900887,0.515594677
s01,k,s0101a,269.650574,close,1,close,TRUE,2.431708506,FALSE,0.037424027,0.077704266,0.115128293,0.674936317
s01,k,s0102a,373.493175,close,1,close,TRUE,4.045368227,FALSE,0.053246991,0.070784075,0.124031066,0.570696336
s01,k,s0102b,138.049613,kids,1,kid,FALSE,3.116342411,FALSE,0.074833994,0.065059104,0.139893098,0.465063001
s01,k,s0102a,463.61608,cost,1,cost,FALSE,3.720068067,FALSE,0.04868668,0.118612934,0.167299614,0.708985102
s01,k,s0102a,508.344818,kids,1,kid,FALSE,4.62018819,FALSE,0.05908024,0.110177479,0.169257719,0.650945076
s01,k,s0103a,327.305,cause,1,cause,FALSE,5.305383075,FALSE,0.051072379,0.026862383,0.077934762,0.344677812
s01,k,s0102a,343.483673,close,1,close,TRUE,3.916793869,FALSE,0.064494083,0.08171674,0.146210823,0.558896658
s01,k,s0101a,108.032046,cord,1,cord,TRUE,4.714237432,TRUE,0.050238269,0.067723911,0.11796218,0.574115456
s01,k,s0102b,72.548809,kids,1,kid,FALSE,2.521504229,FALSE,0.088727971,0.086571388,0.175299359,0.493848858
s01,k,s0103a,326.985,questions,2,question,TRUE,5.305383075,FALSE,0.055156309,0.03741737,0.092573679,0.404190157
s01,k,s0102b,160.541846,cost,1,cost,FALSE,3.997301377,FALSE,0.120159587,0.100426061,0.220585648,0.455270151
s01,k,s0101b,60.87925,kids,1,kid,FALSE,0.29963311,FALSE,0.042584634,0.064714152,0.107298786,0.603121005
s01,k,s0101a,79.438937,clinic,2,clinic,TRUE,4.00373585,FALSE,0.037961242,0.078866431,0.116827674,0.675066351
s01,k,s0102a,298.741177,customs,2,custom,FALSE,2.548001968,FALSE,0.043938245,0.054237014,0.09817526,0.552450938
s01,k,s0102a,544.082649,care,1,care,FALSE,4.61608955,FALSE,0.088050616,0.102192166,0.190242782,0.537167112
s01,k,s0101b,95.548873,closest,2,closest,TRUE,5.917702511,FALSE,0.028452291,0.05938146,0.087833751,0.67606654
s01,k,s0101a,121.784809,cord,1,cord,TRUE,4.38850691,TRUE,0.047360904,0.049820354,0.097181259,0.512653933
s01,k,s0101b,241.31843,customs,2,custom,FALSE,5.626850555,FALSE,0.025794673,0.085675165,0.111469839,0.768595041
s01,k,s0102a,575.589445,care,1,care,FALSE,4.717691301,FALSE,0.042660528,0.097916198,0.140576726,0.69653207
