exp_num,sub_id,speed,word,token,VOT,vowel,closure,aspiration
Exp1,A,NA,back,1,10,200,92,130
Exp1,A,NA,back,2,5,229,172,45
Exp1,A,NA,back,3,11,186,165,123
Exp1,A,NA,back,4,7,162,146,79
Exp1,A,NA,back,5,7,177,168,74
Exp1,A,NA,pack,1,42,220,130,66
Exp1,A,NA,pack,2,56,150,172,83
Exp1,A,NA,pack,3,90,203,109,132
Exp1,A,NA,pack,4,80,153,183,50
Exp1,A,NA,pack,5,75,196,123,77
Exp1,A,NA,big,1,10,172,106,48
Exp1,A,NA,big,2,8,189,117,88
Exp1,A,NA,big,3,13,193,132,93
Exp1,A,NA,big,4,7,201,122,67
Exp1,A,NA,big,5,12,209,138,83
Exp1,A,NA,pig,1,91,170,109,160
Exp1,A,NA,pig,2,108,209,86,88
Exp1,A,NA,pig,3,88,211,106,46
Exp1,A,NA,pig,4,86,139,100,62
Exp1,A,NA,pig,5,66,163,115,33
Exp1,A,NA,bat,1,6,160,185,180
Exp1,A,NA,bat,2,7,194,138,140
Exp1,A,NA,bat,3,8,195,208,93
Exp1,A,NA,bat,4,11,159,171,165
Exp1,A,NA,bat,5,10,167,155,195
Exp1,A,NA,pat,1,46,149,133,241
Exp1,A,NA,pat,2,105,140,182,195
Exp1,A,NA,pat,3,99,162,136,217
Exp1,A,NA,pat,4,80,94,187,143
Exp1,A,NA,pat,5,75,130,189,80
Exp1,A,NA,bet,1,8,128,156,183
Exp1,A,NA,bet,2,8,116,191,230
Exp1,A,NA,bet,3,9,133,151,180
Exp1,A,NA,bet,4,9,91,222,116
Exp1,A,NA,bet,5,13,127,127,117
Exp1,A,NA,pet,1,98,93,191,152
Exp1,A,NA,pet,2,63,123,152,202
Exp1,A,NA,pet,3,80,159,157,175
Exp1,A,NA,pet,4,83,117,163,157
Exp1,A,NA,pet,5,52,145,94,211
Exp1,A,NA,bub,1,8,173,80,66
Exp1,A,NA,bub,2,19,183,82,102
Exp1,A,NA,bub,3,NA,NA,NA,NA
Exp1,A,NA,bub,4,4,171,104,85
Exp1,A,NA,bub,5,11,169,87,53
Exp1,A,NA,pub,1,88,167,118,22
Exp1,A,NA,pub,2,102,154,97,105
Exp1,A,NA,pub,3,76,172,105,74
Exp1,A,NA,pub,4,124,155,83,128
Exp1,A,NA,pub,5,82,139,84,69
Exp1,A,NA,duck,1,19,115,119,111
Exp1,A,NA,duck,2,28,110,140,98
Exp1,A,NA,duck,3,15,114,141,69
Exp1,A,NA,duck,4,17,128,160,177
Exp1,A,NA,duck,5,12,86,157,46
Exp1,A,NA,tuck,1,90,89,146,109
Exp1,A,NA,tuck,2,104,106,144,106
Exp1,A,NA,tuck,3,92,91,145,60
Exp1,A,NA,tuck,4,81,99,117,53
Exp1,A,NA,tuck,5,70,106,118,117
Exp1,A,NA,dug,1,17,203,80,48
Exp1,A,NA,dug,2,15,219,82,49
Exp1,A,NA,dug,3,16,222,84,74
Exp1,A,NA,dug,4,21,197,79,85
Exp1,A,NA,dug,5,28,216,79,59
Exp1,A,NA,tug,1,81,189,94,98
Exp1,A,NA,tug,2,141,188,75,80
Exp1,A,NA,tug,3,125,172,78,22
Exp1,A,NA,tug,4,105,160,87,100
Exp1,A,NA,tug,5,110,205,94,94
Exp1,A,NA,dip,1,22,98,111,140
Exp1,A,NA,dip,2,10,94,130,72
Exp1,A,NA,dip,3,15,96,136,117
Exp1,A,NA,dip,4,16,92,119,38
Exp1,A,NA,dip,5,21,99,104,102
Exp1,A,NA,tip,1,86,125,90,315
Exp1,A,NA,tip,2,79,79,151,115
Exp1,A,NA,tip,3,50,82,146,76
Exp1,A,NA,tip,4,71,80,120,121
Exp1,A,NA,tip,5,71,65,184,68
Exp1,A,NA,dab,1,4,312,79,68
Exp1,A,NA,dab,2,19,288,94,104
Exp1,A,NA,dab,3,17,310,94,103
Exp1,A,NA,dab,4,13,343,89,128
Exp1,A,NA,dab,5,20,322,118,32
Exp1,A,NA,tab,1,79,235,100,66
Exp1,A,NA,tab,2,130,236,100,80
Exp1,A,NA,tab,3,94,255,90,104
Exp1,A,NA,tab,4,102,277,72,100
Exp1,A,NA,tab,5,97,291,69,101
Exp1,A,NA,dub,1,NA,NA,NA,NA
Exp1,A,NA,dub,2,12,188,80,95
Exp1,A,NA,dub,3,22,192,97,87
Exp1,A,NA,dub,4,12,170,124,66
Exp1,A,NA,dub,5,18,178,118,50
Exp1,A,NA,tub,1,99,158,71,75
Exp1,A,NA,tub,2,116,160,77,116
Exp1,A,NA,tub,3,113,172,84,92
Exp1,A,NA,tub,4,126,152,90,86
Exp1,A,NA,tub,5,79,170,86,93
Exp1,A,NA,good,1,35,192,58,112
Exp1,A,NA,good,2,NA,NA,NA,NA
Exp1,A,NA,good,3,NA,NA,NA,NA
Exp1,A,NA,good,4,37,220,76,124
Exp1,A,NA,good,5,NA,NA,NA,NA
Exp1,A,NA,could,1,88,172,62,159
Exp1,A,NA,could,2,113,190,52,93
Exp1,A,NA,could,3,121,195,94,82
Exp1,A,NA,could,4,93,175,53,102
Exp1,A,NA,could,5,86,201,38,92
Exp1,A,NA,goat,1,NA,NA,NA,NA
Exp1,A,NA,goat,2,31,120,151,117
Exp1,A,NA,goat,3,22,183,75,193
Exp1,A,NA,goat,4,25,158,117,169
Exp1,A,NA,goat,5,NA,NA,NA,NA
Exp1,A,NA,coat,1,97,170,96,196
Exp1,A,NA,coat,2,93,111,136,125
Exp1,A,NA,coat,3,90,151,97,232
Exp1,A,NA,coat,4,84,120,119,172
Exp1,A,NA,coat,5,89,96,145,122
Exp1,A,NA,gut,1,23,165,126,180
Exp1,A,NA,gut,2,20,142,138,119
Exp1,A,NA,gut,3,24,118,159,111
Exp1,A,NA,gut,4,32,119,143,122
Exp1,A,NA,gut,5,15,136,152,120
Exp1,A,NA,cut,1,78,128,68,136
Exp1,A,NA,cut,2,103,96,140,167
Exp1,A,NA,cut,3,96,119,166,224
Exp1,A,NA,cut,4,105,98,160,84
Exp1,A,NA,cut,5,101,121,122,211
Exp1,A,NA,gap,1,19,208,124,54
Exp1,A,NA,gap,2,22,205,147,47
Exp1,A,NA,gap,3,21,189,130,133
Exp1,A,NA,gap,4,24,182,121,55
Exp1,A,NA,gap,5,24,195,126,11
Exp1,A,NA,cap,1,81,160,93,83
Exp1,A,NA,cap,2,68,154,122,84
Exp1,A,NA,cap,3,96,165,154,76
Exp1,A,NA,cap,4,87,167,115,47
Exp1,A,NA,cap,5,85,148,129,94
Exp1,A,NA,gape,1,27,146,126,49
Exp1,A,NA,gape,2,22,157,140,20
Exp1,A,NA,gape,3,22,159,115,71
Exp1,A,NA,gape,4,14,161,101,127
Exp1,A,NA,gape,5,22,127,129,9
Exp1,A,NA,cape,1,80,131,128,61
Exp1,A,NA,cape,2,NA,NA,NA,NA
Exp1,A,NA,cape,3,72,135,122,31
Exp1,A,NA,cape,4,57,165,153,14
Exp1,A,NA,cape,5,81,146,92,15
Exp1,B,NA,back,1,13,230,143,167
Exp1,B,NA,back,2,12,244,143,127
Exp1,B,NA,back,3,10,232,158,190
Exp1,B,NA,back,4,11,204,140,223
Exp1,B,NA,back,5,11,250,141,112
Exp1,B,NA,pack,1,53,206,154,110
Exp1,B,NA,pack,2,51,215,143,127
Exp1,B,NA,pack,3,34,224,149,99
Exp1,B,NA,pack,4,61,201,148,108
Exp1,B,NA,pack,5,39,214,133,135
Exp1,B,NA,big,1,11,190,84,128
Exp1,B,NA,big,2,10,216,92,131
Exp1,B,NA,big,3,9,202,93,120
Exp1,B,NA,big,4,17,194,87,105
Exp1,B,NA,big,5,11,209,89,125
Exp1,B,NA,pig,1,50,185,95,97
Exp1,B,NA,pig,2,39,183,88,100
Exp1,B,NA,pig,3,30,191,88,86
Exp1,B,NA,pig,4,43,215,93,134
Exp1,B,NA,pig,5,47,175,87,131
Exp1,B,NA,bat,1,14,224,132,173
Exp1,B,NA,bat,2,11,210,157,173
Exp1,B,NA,bat,3,10,236,108,155
Exp1,B,NA,bat,4,12,245,113,141
Exp1,B,NA,bat,5,15,210,134,155
Exp1,B,NA,pat,1,58,208,128,130
Exp1,B,NA,pat,2,52,242,121,176
Exp1,B,NA,pat,3,55,203,123,186
Exp1,B,NA,pat,4,72,204,135,164
Exp1,B,NA,pat,5,59,196,110,134
Exp1,B,NA,bet,1,11,163,112,168
Exp1,B,NA,bet,2,9,149,116,160
Exp1,B,NA,bet,3,11,142,141,143
Exp1,B,NA,bet,4,9,153,110,170
Exp1,B,NA,bet,5,13,153,136,183
Exp1,B,NA,pet,1,53,157,89,167
Exp1,B,NA,pet,2,58,157,108,118
Exp1,B,NA,pet,3,31,167,111,162
Exp1,B,NA,pet,4,43,134,118,125
Exp1,B,NA,pet,5,60,171,98,155
Exp1,B,NA,bub,1,10,169,94,104
Exp1,B,NA,bub,2,11,167,95,93
Exp1,B,NA,bub,3,10,164,95,107
Exp1,B,NA,bub,4,11,176,92,105
Exp1,B,NA,bub,5,14,173,89,96
Exp1,B,NA,pub,1,65,136,107,75
Exp1,B,NA,pub,2,68,166,103,106
Exp1,B,NA,pub,3,43,174,90,71
Exp1,B,NA,pub,4,52,161,105,77
Exp1,B,NA,pub,5,50,168,102,54
Exp1,B,NA,duck,1,16,161,117,102
Exp1,B,NA,duck,2,14,154,128,103
Exp1,B,NA,duck,3,16,156,133,112
Exp1,B,NA,duck,4,14,165,138,128
Exp1,B,NA,duck,5,15,168,135,108
Exp1,B,NA,tuck,1,76,142,127,116
Exp1,B,NA,tuck,2,42,129,144,173
Exp1,B,NA,tuck,3,65,112,165,119
Exp1,B,NA,tuck,4,63,134,138,90
Exp1,B,NA,tuck,5,57,165,134,85
Exp1,B,NA,dug,1,13,215,105,86
Exp1,B,NA,dug,2,14,210,102,138
Exp1,B,NA,dug,3,13,204,94,125
Exp1,B,NA,dug,4,13,244,92,161
Exp1,B,NA,dug,5,24,192,74,116
Exp1,B,NA,tug,1,65,193,94,104
Exp1,B,NA,tug,2,72,233,82,141
Exp1,B,NA,tug,3,54,161,103,111
Exp1,B,NA,tug,4,69,205,98,166
Exp1,B,NA,tug,5,63,214,95,128
Exp1,B,NA,dip,1,14,147,123,65
Exp1,B,NA,dip,2,13,145,122,108
Exp1,B,NA,dip,3,12,154,123,122
Exp1,B,NA,dip,4,16,152,120,91
Exp1,B,NA,dip,5,22,154,128,83
Exp1,B,NA,tip,1,62,121,145,91
Exp1,B,NA,tip,2,61,127,131,110
Exp1,B,NA,tip,3,53,112,95,125
Exp1,B,NA,tip,4,69,129,136,120
Exp1,B,NA,tip,5,55,138,123,87
Exp1,B,NA,dab,1,14,272,116,83
Exp1,B,NA,dab,2,15,323,90,104
Exp1,B,NA,dab,3,10,294,97,111
Exp1,B,NA,dab,4,17,312,99,145
Exp1,B,NA,dab,5,23,372,110,104
Exp1,B,NA,tab,1,73,245,99,59
Exp1,B,NA,tab,2,71,300,69,142
Exp1,B,NA,tab,3,69,305,91,110
Exp1,B,NA,tab,4,61,320,97,102
Exp1,B,NA,tab,5,64,284,90,100
Exp1,B,NA,dub,1,17,200,109,125
Exp1,B,NA,dub,2,14,207,88,110
Exp1,B,NA,dub,3,13,189,108,116
Exp1,B,NA,dub,4,13,208,98,91
Exp1,B,NA,dub,5,24,196,85,67
Exp1,B,NA,tub,1,70,167,102,109
Exp1,B,NA,tub,2,79,188,83,114
Exp1,B,NA,tub,3,65,182,80,85
Exp1,B,NA,tub,4,70,193,91,168
Exp1,B,NA,tub,5,51,181,93,101
Exp1,B,NA,good,1,30,193,84,91
Exp1,B,NA,good,2,16,236,82,117
Exp1,B,NA,good,3,12,242,71,134
Exp1,B,NA,good,4,17,219,87,171
Exp1,B,NA,good,5,22,227,69,84
Exp1,B,NA,could,1,78,218,81,139
Exp1,B,NA,could,2,69,236,63,108
Exp1,B,NA,could,3,66,218,81,143
Exp1,B,NA,could,4,82,241,71,82
Exp1,B,NA,could,5,63,272,82,155
Exp1,B,NA,goat,1,15,187,130,126
Exp1,B,NA,goat,2,29,178,128,232
Exp1,B,NA,goat,3,12,168,108,252
Exp1,B,NA,goat,4,27,168,199,225
Exp1,B,NA,goat,5,17,184,117,215
Exp1,B,NA,coat,1,54,163,111,203
Exp1,B,NA,coat,2,43,154,182,205
Exp1,B,NA,coat,3,32,151,152,198
Exp1,B,NA,coat,4,70,164,118,173
Exp1,B,NA,coat,5,60,172,97,196
Exp1,B,NA,gut,1,29,152,115,140
Exp1,B,NA,gut,2,23,151,120,125
Exp1,B,NA,gut,3,23,163,91,211
Exp1,B,NA,gut,4,34,158,101,148
Exp1,B,NA,gut,5,21,147,102,190
Exp1,B,NA,cut,1,51,137,125,147
Exp1,B,NA,cut,2,89,134,90,100
Exp1,B,NA,cut,3,64,138,127,146
Exp1,B,NA,cut,4,52,126,143,188
Exp1,B,NA,cut,5,64,149,106,161
Exp1,B,NA,gap,1,18,204,132,63
Exp1,B,NA,gap,2,14,206,118,96
Exp1,B,NA,gap,3,18,200,248,111
Exp1,B,NA,gap,4,24,216,118,116
Exp1,B,NA,gap,5,22,208,103,93
Exp1,B,NA,cap,1,64,206,144,93
Exp1,B,NA,cap,2,52,215,128,118
Exp1,B,NA,cap,3,64,178,166,94
Exp1,B,NA,cap,4,66,206,137,96
Exp1,B,NA,cap,5,46,199,111,144
Exp1,B,NA,gape,1,20,179,135,115
Exp1,B,NA,gape,2,15,194,125,344
Exp1,B,NA,gape,3,15,192,173,33
Exp1,B,NA,gape,4,27,171,143,111
Exp1,B,NA,gape,5,26,182,160,84
Exp1,B,NA,cape,1,52,177,123,130
Exp1,B,NA,cape,2,36,175,183,173
Exp1,B,NA,cape,3,64,155,131,53
Exp1,B,NA,cape,4,51,169,134,137
Exp1,B,NA,cape,5,60,173,120,104
